,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,partie,part
1,1,1,histoire,history
2,2,2,chercher,search
3,3,3,seulement,only
4,4,4,pensais,thought
5,5,5,aide,help
6,6,6,demande,request
7,7,7,genre,kind
8,8,8,mois,month
9,9,9,frère,brother
10,10,10,laisser,let
11,11,11,car,because
12,12,12,mettre,to put
13,13,13,aucun,no
14,14,14,laisse,leash
15,15,15,eux,them
16,16,16,ville,city
17,17,17,chaque,each
18,18,18,parlé,speak
19,19,19,arrivé,come
20,20,20,devrait,should
21,21,21,bébé,baby
22,23,23,heures,hours
23,24,24,vont,will
24,25,25,pendant,while
25,26,26,revoir,meet again
26,27,27,aucune,any
27,28,29,parle,speak
28,29,30,compris,understood
29,30,31,savais,knew
30,31,33,voici,here is
31,32,34,pourrais,could
32,33,35,affaire,case
33,34,36,donner,give
34,35,37,type,type
35,36,38,leurs,their
36,37,39,donné,given
37,38,40,corps,body
38,39,41,endroit,place
39,40,42,yeux,eyes
40,41,43,façon,way
41,42,44,écoute,listen
42,43,45,dont,whose
43,45,47,main,hand
44,46,50,pouvoir,power
45,47,53,tiens,here
46,48,55,tellement,so much
47,49,56,enfant,child
48,50,57,point,point
49,51,58,venu,came
50,52,59,suite,after
51,53,60,pardon,sorry
52,54,62,devant,in front of
53,55,63,vers,towards
54,56,64,minutes,minutes
55,57,65,demandé,request
56,58,66,chambre,bedroom
57,59,67,mis,placed
58,60,68,belle,beautiful
59,61,69,droit,law
60,62,70,aimerais,would like to
61,63,71,mari,husband
62,64,72,cause,cause
63,65,73,enfin,finally
64,66,74,espère,hope
65,67,75,eau,water
66,68,76,attendez,Wait
67,69,77,parti,left
68,70,78,nouvelle,new
69,71,79,boulot,job
70,72,80,arrêter,Stop
71,73,81,dirait,would say
72,74,83,compte,account
73,75,85,loin,far
74,76,86,croire,believe
75,77,87,chérie,sweetheart
76,78,88,gros,large
77,79,89,plutôt,rather
78,80,90,aura,will have
79,81,91,filles,girls
80,82,92,bureau,office
